epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,298.938,0.60323,0.93935,0.45137,0.90613,0,0.73949,0.50637,0.62071,0.47793,0.80971,0.4828,0.59134,0.41487,0.80073,1.69581,1.06234,1.02584,0,0.00014142,0.00014142,0.00014142
73,302.894,0.58201,0.89672,0.43359,0.90617,0,0.87116,0.49384,0.63509,0.48846,0.85009,0.4728,0.58879,0.45136,0.7977,1.73897,1.01262,1.02344,0,0.000136707,0.000136707,0.000136707
74,306.847,0.57498,0.86889,0.42317,0.90182,0,0.88242,0.51721,0.63829,0.49411,0.8707,0.50591,0.6019,0.44924,0.79307,1.69514,0.98294,1.0312,0,0.000131995,0.000131995,0.000131995
75,310.823,0.59765,0.95166,0.45563,0.91037,0,0.88533,0.53698,0.64323,0.47641,0.86473,0.51642,0.6086,0.44109,0.8036,1.6949,0.94363,1.02881,0,0.000127282,0.000127282,0.000127282
76,314.747,0.5868,0.92381,0.44886,0.90922,0,0.88218,0.5215,0.58929,0.44721,0.86953,0.5102,0.55466,0.34164,0.78152,1.72687,0.96342,1.02754,0,0.00012257,0.00012257,0.00012257
77,318.672,0.57448,0.85665,0.43315,0.89608,0,0.89772,0.52381,0.578,0.42826,0.879,0.50826,0.54091,0.33295,0.8232,1.67958,1.03516,1.05732,0,0.000117858,0.000117858,0.000117858
78,322.572,0.59259,0.88682,0.44328,0.91267,0,0.90121,0.5105,0.63459,0.46427,0.87816,0.48995,0.60308,0.43903,0.82747,1.61697,1.0031,1.0588,0,0.000113145,0.000113145,0.000113145
79,326.459,0.5852,0.90419,0.43677,0.90514,0,0.89554,0.49604,0.6397,0.46037,0.87268,0.47532,0.60675,0.38441,0.81114,1.63428,0.96584,1.04138,0,0.000108433,0.000108433,0.000108433
80,330.351,0.5847,0.91915,0.43626,0.89716,0,0.90432,0.49485,0.63581,0.4772,0.88899,0.48271,0.6131,0.38199,0.7975,1.64302,0.94602,1.02949,0,0.00010372,0.00010372,0.00010372
81,334.238,0.55249,0.82621,0.42134,0.899,0,0.9072,0.52917,0.63918,0.48983,0.8922,0.51703,0.6097,0.38763,0.78583,1.64463,0.93413,1.02682,0,9.9008e-05,9.9008e-05,9.9008e-05
82,338.136,0.59985,0.92986,0.43922,0.91726,0,0.80438,0.55969,0.64614,0.49753,0.78905,0.54377,0.61637,0.38041,0.78506,1.63856,0.8972,1.01822,0,9.42956e-05,9.42956e-05,9.42956e-05
83,342.029,0.55521,0.795,0.42503,0.90359,0,0.78909,0.5494,0.64539,0.4875,0.77289,0.53347,0.61463,0.38886,0.78363,1.59408,0.90878,1.00982,0,8.95832e-05,8.95832e-05,8.95832e-05
84,345.948,0.5568,0.84229,0.41307,0.89014,0,0.78783,0.53885,0.64159,0.48857,0.76567,0.51995,0.61147,0.38629,0.76457,1.65601,0.9438,1.00685,0,8.48708e-05,8.48708e-05,8.48708e-05
85,349.89,0.54801,0.80983,0.41159,0.89186,0,0.79732,0.52445,0.64205,0.49181,0.77554,0.50602,0.61237,0.38215,0.76179,1.67087,0.91914,1.00532,0,8.01584e-05,8.01584e-05,8.01584e-05
86,353.816,0.56698,0.84802,0.41897,0.90121,0,0.89939,0.50544,0.63948,0.49085,0.87694,0.48648,0.60585,0.37823,0.777,1.68699,0.94312,1.00482,0,7.5446e-05,7.5446e-05,7.5446e-05
87,357.744,0.54578,0.82048,0.41414,0.89363,0,0.57524,0.65134,0.64506,0.49163,0.90312,0.49092,0.6114,0.38525,0.77495,1.72344,0.93001,0.99905,0,7.07336e-05,7.07336e-05,7.07336e-05
88,361.636,0.54085,0.81957,0.404,0.88638,0,0.91111,0.50127,0.64243,0.48695,0.89122,0.48416,0.613,0.38485,0.75901,1.70436,0.93981,0.99817,0,6.60212e-05,6.60212e-05,6.60212e-05
89,365.508,0.53349,0.86204,0.40618,0.88897,0,0.90666,0.49199,0.63876,0.48867,0.88784,0.47607,0.61082,0.3767,0.76478,1.69735,0.96591,1.0002,0,6.13088e-05,6.13088e-05,6.13088e-05
90,369.44,0.52846,0.81733,0.39865,0.89188,0,0.90128,0.4883,0.63609,0.48631,0.88237,0.47237,0.60741,0.38203,0.75359,1.739,0.97226,0.99116,0,5.65964e-05,5.65964e-05,5.65964e-05
91,400.559,0.56938,0.83841,0.44181,0.88531,0,0.80157,0.50942,0.63316,0.48273,0.78245,0.49234,0.60294,0.37281,0.74252,1.80804,0.94739,0.99083,0,5.1884e-05,5.1884e-05,5.1884e-05
92,404.626,0.57089,0.83904,0.43855,0.88783,0,0.7949,0.5204,0.63641,0.4907,0.77413,0.50213,0.60339,0.44952,0.7456,1.74602,0.92506,0.99637,0,4.71716e-05,4.71716e-05,4.71716e-05
93,408.541,0.53199,0.80911,0.40563,0.87801,0,0.79129,0.52397,0.63957,0.48547,0.7724,0.50805,0.60673,0.46857,0.73705,1.65579,0.90961,0.996,0,4.24592e-05,4.24592e-05,4.24592e-05
94,412.492,0.53069,0.77894,0.41508,0.86971,0,0.78953,0.51653,0.64026,0.48709,0.77067,0.50061,0.61022,0.46856,0.74126,1.5978,0.93371,0.99848,0,3.77468e-05,3.77468e-05,3.77468e-05
95,416.565,0.5364,0.83188,0.40271,0.87303,0,0.79839,0.50516,0.63772,0.48126,0.77992,0.48924,0.60817,0.40121,0.75075,1.59721,0.95331,0.99858,0,3.30344e-05,3.30344e-05,3.30344e-05
96,420.413,0.54616,0.80174,0.40955,0.87544,0,0.79281,0.50671,0.63884,0.48091,0.7748,0.49078,0.60882,0.40478,0.74974,1.62269,0.94429,0.99397,0,2.8322e-05,2.8322e-05,2.8322e-05
97,424.247,0.5381,0.82503,0.41478,0.8834,0,0.78536,0.50679,0.63823,0.49186,0.76793,0.49086,0.6099,0.47459,0.75439,1.65404,0.95748,0.99656,0,2.36096e-05,2.36096e-05,2.36096e-05
98,428.144,0.53623,0.78135,0.39896,0.87351,0,0.56824,0.64271,0.63841,0.49204,0.55023,0.62216,0.60902,0.40285,0.75295,1.66364,0.95078,0.99693,0,1.88972e-05,1.88972e-05,1.88972e-05
99,431.955,0.52241,0.77969,0.4018,0.85531,0,0.78846,0.51471,0.63966,0.48879,0.76854,0.49826,0.61416,0.40436,0.74798,1.66138,0.9488,0.99973,0,1.41848e-05,1.41848e-05,1.41848e-05
100,435.822,0.52896,0.81277,0.40359,0.873,0,0.78942,0.51305,0.63956,0.48785,0.76962,0.49671,0.61164,0.40064,0.7451,1.66122,0.9475,1.00174,0,9.4724e-06,9.4724e-06,9.4724e-06
